"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
581,"Angela Avila Carpio","Local Guide · 201 reseñas · 2.207 fotos","Hace 8 años","","","Positivo","Tapas para compartir","Tapas muy ricas y entorno perfecto para compartir con amigos","","No","Un buen lugar para compartir con amigos. Las tapas y la comida en general muy buena. Recomendado!!!"
582,"J. Álvaro JA","Local Guide · 81 reseñas · 7 fotos","Hace 3 años","Cena","40-50 €","Mixto","Platos originales","Platos originales y servicio atento y profesional","Precio medio de 45€ algo excesivo para la cantidad servida","No","Restaurante con platos originales. Servicio atento y profesional precio medio 45€, un poco elevado para lo que comes"
583,"Luis Isasi","3 reseñas","Hace 3 años","Cena","30-40 €","Positivo","","Comida de diez, camareros majísimos y música de fondo muy agradable","","No","Nah, de locos. Comida de 10, camareros majisimos, buen sitio, incluso la musica de fondo muy fina"
584,"L Rasilla","6 reseñas","Hace 7 años","","","Positivo","","Materia prima excelente y trato fantástico de Óscar","","Sí","Muy buen producto y un trato fantástico por parte del personal, en especial de Oscar! Volveremos seguro!"
585,"Feel like a lady By Raquel","Local Guide · 46 reseñas","Hace 4 años","","","Positivo","Financier de postre","Productos de primera, atención exquisita y postre financier delicioso","","No","Trato inmejorable y productos de primera. La atención exquisita. Pd: recomiendo el postre financier 😃"
586,"Paula Sanchez","Local Guide · 54 reseñas · 7 fotos","Hace 3 años","","","Positivo","Platos sugeridos","Excelente calidad, personal muy amable y recomendaciones exquisitas","","No","Excelente calidad! Muy amables y las recomendaciones exquisitas. Vuelta asegurada"
587,"Maca Duran","Local Guide · 36 reseñas","Hace 2 años","","","Positivo","","Trato de sala muy amable y comida sabrosa","Tiempos de espera bastante largos entre plato y plato","No","Quizá pondría como pega lo que tardan entre los platos....bastante tiempo....siendo amables,pero..... Por lo demás, muy bien"
588,"ELENA AVENDAÑO FERNANDEZ","7 reseñas","Hace 2 años","","","Positivo","","Calidad superior, gran presentación de platos y trato excelente","","No","Excelente todo lo que pedimos!! Gran calidad, presentación y trato al cliente!!!"
589,"Mario Homero Maldonado","5 reseñas","Hace 1 mes","Cena","","Positivo","","Gran sitio","","No","Gran sitio!"
590,"José Luis Temiño","10 reseñas · 4 fotos","Hace 4 años","","","Positivo","Berberechos a la brasa","Berberechos a la brasa espectaculares y servicio súper atento y amable","","No","Buenísimo todo!!! El servicio super atento y amable. Y los berberechos a la brasa espectaculares!! Muy recomendable!!"
591,"Natividad","Local Guide · 52 reseñas · 27 fotos","Hace 6 años","","","Positivo","","Comida estupenda y personal amable y respetuoso con protocolos sanitarios","","No","La comida estupenda, el personal amable sin invadir, cumplen todos los protocolos del Cid. Recomendable al 100%"
592,"Tomi Barbaccia","4 reseñas","Hace 2 años","Comida","20-30 €","Positivo","","Servicio impecable de principio a fin, apto para acudir con niños","","No","Espectacular, todo impecable desde que llegas hasta que te vas! Recomiendo! Admisión de niños: si, se aceptan"
593,"Chisca","Local Guide · 215 reseñas","Hace 5 años","","","Positivo","","Cocina y servicio de gran nivel con precios razonables","","Sí","Fenomenal, muy buena cocina, muy buen servicio, con precios razonables"
594,"Nur Herrero Ramos","13 reseñas · 1 foto","Hace 3 años","Comida","30-40 €","Positivo","Tarta de queso","Calidad increíble y tarta de queso totalmente recomendada","","No","Increíble la calidad de los platos. La tarta de queso totalmente recomendable!!"
595,"Andrea Muñoz","3 reseñas","Hace 1 año","Cena","80-90 €","Positivo","","Atención excepcional y trato inigualable de Otman","","No","Ojalá coincidas con Otman! El mejor camarero del mundo!!"
596,"Miguel FPV","15 reseñas","Hace 4 años","","","Positivo","","Comida estupenda y personal muy amable","","Sí","Comida estupenda, personal muy amable, recomendable 100%!!"
597,"Juan Salama","Local Guide · 37 reseñas · 16 fotos","Hace 5 años","","","Positivo","","Producto inmejorable, local muy agradable y servicio excelente","","Sí","Excelente servicio, producto inmejorable y sitio muy agradable, sin duda muy recomendable."
598,"ESTACION MORON","3 reseñas · 6 fotos","Hace 1 año","Comida","","Positivo","","Comida y lugar excelentes, atención de diez","","No","Exelente comida ! Exelente lugar ! Y la atención un 10 !! Muy recomendable 🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻"
599,"Angel Sanchez","Local Guide · 26 reseñas · 43 fotos","Hace 7 años","","","Positivo","Tomate rosado, Salmorejo","Tomate rosa y salmorejo riquísimos, servicio impecable","","Sí","Excelente comida. Tomate rosado y Salmorejo muy ricos. Muy buen servicio."
600,"Jorge H","Local Guide · 18 reseñas · 3 fotos","Hace 2 años","","","Positivo","Ravioli de toro","Comida muy sabrosa y ravioli de toro como plato estrella","","Sí","Está todo muy rico y el ravioli de toro nuestro favorito. Nicolás y Eloy"
601,"Genaro Escudero","Local Guide · 82 reseñas · 363 fotos","Hace 4 años","Cena","30-40 €","Positivo","","Cocina mimada y elaborada con cariño, trato excelente","","No","Una cocina cuidada y con mucho cariño. Un trato excelente. Totalmente recomendando."
602,"Carlota Del Dedo","7 reseñas","Hace 4 años","","","Positivo","","Producto y materia prima de calidad con servicio genial","","No","Buenísimo. servicio genial y todo muy bueno. Buen producto y buena calidad"
603,"Cesar Santos","8 reseñas","Hace 2 años","Comida","","Positivo","","Comida muy rica","Sensación de frío en el comedor durante el almuerzo","No","Esta todo muy rico pero fuimos a comer y hacia frio"
604,"JUAN MARTINEZ","Local Guide · 54 reseñas · 55 fotos","Hace 5 años","","","Positivo","","Comida rica, atención excelente y terraza muy concurrida y agradable","","Sí","Muy rica comida y exelente atención el ambiente es agradable y la terraza muy concurrida"
605,"Juan Miguel Muñoz","Local Guide · 62 reseñas · 17 fotos","Hace 7 años","","","Positivo","","Cocina excelente y estupenda","Local excesivamente pequeño que resulta incómodo","No","Es un lugar con una cocina muy buena, estupenda, pero es demasiado pequeño, a veces resulta incomodo"
606,"Ines Avila","2 reseñas","Hace 3 años","Cena","30-40 €","Positivo","","Comida súper sabrosa y camareros muy agradables","","No","Comida súper rica, y camareros muy agradables. Repetiremos seguro."
607,"Jorge Chaverra","4 reseñas","Hace 1 año","Comida","30-40 €","Positivo","","Excelente atención, amplia variedad y admisión de niños de todas las edades","","No","Tiene una excelente atención y muy buena variedad de comidas Admisión de niños: Si aceptan niños de todas las edades"
608,"Maria Uzquiano Esteban","14 reseñas · 2 fotos","Hace 2 años","Cena","20-30 €","Positivo","","Camareros súper majos y comida muy rica","","Sí","Todo genial, los cameros súper majos y la comida muy rica, volvemos seguro!"
609,"Raquel jimenez cuevas","3 reseñas","Hace 5 años","","","Positivo","","Servicio perfecto y comida espectacular para volver siempre","","No","Perfecto servicio. Todo espectacular. Sitio para volver siempre y recomendar."
610,"Luis Romero","Local Guide · 54 reseñas","Hace 7 años","","","Positivo","Kamichi de marisco","Cocina de calidad y kimuchi de marisco muy recomendado","Platos pequeños que dejan con hambre","No","buena cocina. platos pequeños, sales con más hambre que entras. en general una experiencia interesante. prueba el kamichi de marisco."
611,"mjt miquis","Local Guide · 73 reseñas · 129 fotos","Hace 7 años","","","Positivo","","Calidad muy buena y servicio muy profesional y amable","","Sí","Hemos cenado estupendamente ,la calidad muy buena y el.servicio.muy profesional.y amable."
612,"Mar Tramullas Álvarez","Local Guide · 5 reseñas","Hace 5 años","","","Positivo","","Comida deliciosa, servicio impecable y limpieza excelente","","No","Como siempre, maravilloso!! La comida,el servicio,el sitio,la limpieza,etc...seguiré volviendo muchas veces!!"
613,"Mayte Garcia","Local Guide · 21 reseñas · 7 fotos","Hace 2 años","","10-20 €","Mixto","Raciones","Servicio impecable","Raciones escasas y precios algo elevados","No","La comida un poco cara y escasa las raciones. Servicio impecable"
614,"Juan Carlos Spinola","Local Guide · 20 reseñas","Hace 5 años","","","Positivo","","Gran calidad que justifica el desplazamiento","","Sí","Genial como siempre Mucha calidad, merece la pena venir aunque sea de lejos"
615,"José María Lopez","4 reseñas","Hace 3 años","Cena","90-100 €","Positivo","","Atención fabulosa y comida espectacular","","No","Fabulosa atención y la comida espectacular. Recomendable 100%"
616,"maría cristina simbonnet baró","Local Guide · 73 reseñas","Hace 3 años","","","Positivo","Pulpo a la brasa","Pulpo a la brasa delicioso y atención de sala muy cuidada","","No","LA ROCA POZUELO DE A.M. EL PULPO A LA BRASA ES PLATO DELCIOSO EN MUY BUENA ATENCION.. SABOREAR CONLLEVA DISFRUTAR DE LA COMIDA."
617,"Carmen Irles","Local Guide · 20 reseñas · 12 fotos","Hace 4 años","","","Positivo","Alcachofas","Servicio inmejorable, comida riquísima y alcachofas de 10","","No","De los mejores sitios de Pozuelo. El servicio inmejorable y la comida riquísima. Las alcachofas de 10."
618,"Jorge Contreras","10 reseñas","Hace 3 años","Comida","40-50 €","Positivo","Tapas de picoteo","Formato ideal para comer a base de picoteo con muy buena atención","","No","Perfecto para comer de picar. Muy buena atención por parte del personal."
619,"Isabel Ferreira San Jose","Local Guide · 28 reseñas · 10 fotos","Hace 8 años","","","Negativo","","","Local agobiante, servicio maleducado, platos con olor a caducado y quejas visibles de clientes","No","Agobiante, incómodo, mal servicio sin educación y algún producto con olor a caducado. Dos protestas de clientes mientras cenamos. Para olvidar."
620,"JJ G","Local Guide · 52 reseñas · 1 foto","Hace 7 años","","","Positivo","","Comida increíble y gran trato del servicio de sala","","No","Mejor imposible!. Comida increíble, gran trato del servicio. Muy recomendable."
621,"Kevin Mendoza","Local Guide · 124 reseñas · 61 fotos","Hace 5 meses","Comida","","Positivo","","Restaurante favorito de referencia","","No","Es mi sitio favorito"
622,"LFD","Local Guide · 94 reseñas · 9 fotos","Hace 4 años","","","Positivo","","Cocina cuidada y espectacular con trato cariñoso y cercano","","Sí","perfecto! atención impecable cariñosa y cercana .comida cuidada y espectacular! muy recomendable!"
623,"Pilar Álvarez Bruned","Local Guide · 129 reseñas · 74 fotos","Hace 5 años","","","Mixto","","Comida sabrosa","Precios caros para platos sin elementos realmente reseñables","Sí","Relación calidad precio más bien caro. Todo estaba bueno pero nada reseñable."
624,"Anibal Caceres Hernando","1 reseña","Hace 1 año","Cena","30-40 €","Positivo","","Buena comida, ambiente agradable y servicio eficiente","","Sí","Buena comida, ambiente agradable, y servicio eficiente."
625,"laurent ricard","Local Guide · 81 reseñas · 9 fotos","Hace 5 años","","","Positivo","Raciones","Género y materia prima con calidad espectacular","Raciones no muy grandes","No","Muy buen género. Las raciones no son muy grandes pero la calidad es espectacular"
626,"Irem A.","Local Guide · 62 reseñas","Hace 4 años","","","Mixto","","Comida buena y personal muy simpático","Raciones muy pequeñas y precios caros","Sí","Son muy simpaticos, la comida es buena pero las raciones muy pequeños y caras."
627,"isabel hazas","Local Guide · 13 reseñas · 9 fotos","Hace 1 año","","","Positivo","","Comida muy sabrosa y servicio impecable","","No","Todo muy rico y el servicio impecable"
628,"Maria Elena Velasco Lazaro","Local Guide · 13 reseñas","Hace 1 año","","30-40 €","Positivo","","Comida rica y atención impecable que nunca defrauda","","Sí","Que rico todo y que buena atención Nunca defrauda"
629,"Alberto C","Local Guide · 198 reseñas · 278 fotos","Hace 7 años","","","Positivo","","Comida muy cuidada y deliciosa","Raciones pequeñas (no apto para ir con mucha hambre)","No","Comida muy cuidada y deliciosa. Mejor no ir con demasiada hambre, porque raciones pequeñas"
630,"Rafael Botello","Local Guide · 29 reseñas","Hace 4 años","","","Positivo","Tortilla de Betanzos","Platos que sorprenden y tortilla de Betanzos brillante","","No","Aunque cada plato sorprende por lo rico, volveré una y otra vez por su tortilla de Betanzos."
631,"Ana Maria Flores Asolo","Local Guide · 18 reseñas · 3 fotos","Hace 3 años","","","Positivo","","Ambiente agradable, comida estupenda y camareros muy atentos","","No","Muy agradable. Muy atentos y agradables en el trato, y la comida también estupenda."
632,"Nacho Estévez","2 reseñas · 1 foto","Hace 1 año","Cena","30-40 €","Positivo","","Cena fantástica y experiencia totalmente recomendable","","Sí","Totalmente recomendable, una cena fantástica."
633,"Maurizio Amoruso","Local Guide · 21 reseñas · 12 fotos","Hace 3 años","Comida","40-50 €","Positivo","","Comida muy rica, camareros simpáticos, profesionales y disponibles","","No","Muy rico y camareros muy simpáticos, disponibles y profesionales"
634,"irene serrano","3 reseñas","Hace 4 años","","","Positivo","","Comida muy rica y camareros majísimos","","No","Muy rico todo y los camareros majísimos!! Muy recomendable."
635,"Javi Cuevas","12 reseñas","Hace 2 años","","","Positivo","","Local, atención y comida de nivel excelente","","No","El local, la atención y la comida son muy buenos. Merece la pena visitarlo y comer aquí."
636,"Javier Palomo Amores","5 reseñas · 2 fotos","Hace 4 años","Comida","","Positivo","Sam de gambas","Comida excepcional, sam de gambas imprescindible y trato personal sobresaliente","","No","Comida excepcional, sam de gambas imprescindible, un trato personal sobresaliente."
637,"Alejandro Arias","Local Guide · 32 reseñas · 6 fotos","Hace 7 años","","","Positivo","","Buen producto de mercado, buen servicio, ideal para comidas informales","","Sí","Buen producto de mercado y buen servicio. Buen sitio para una comida o cena informal."
638,"Francisco Javier Perez Aparicio","Local Guide · 42 reseñas · 19 fotos","Hace 7 años","","","Positivo","Torreznos con patatas revolconas","Servicio impecable y torreznos con revolconas imprescindibles","","No","Estupendo y bien servido. Repetiré. No os perdáis los torreznos con patatas revolconas"
639,"Elena Reviriego","1 reseña","Hace 4 años","","","Positivo","","Servicio y comida increíbles, de lo mejor de Pozuelo","","No","El mejor sitio de Pozuelo, increíble el servicio y la comida. Super recomendable!!"
640,"rosa alvarez","Local Guide · 58 reseñas","Hace 4 años","","","Positivo","Empanada criolla","Cena riquísima y empanada criolla insuperable","","No","La cena riquísima!! La empanada criolla mejor que ne mi país!! Lo recomiendo un montón!!"
641,"Gabriel Toscano","Local Guide · 33 reseñas · 205 fotos","Hace 4 años","Cena","20-30 €","Positivo","","Buena comida, atención esmerada y buen ambiente","","No","Buena comida, buena atención (que no es algo tan común) y buen ambiente."
642,"Xan De Vicus","Local Guide · 22 reseñas · 1 foto","Hace 4 años","","","Positivo","","Cocina muy cuidada y presentación estética muy estudiada","","No","Una cocina muy cuidada. La presentación de los platos muy estudiada. Vale muy bien una visita."
643,"Lorenzo sanz","4 reseñas","Hace 3 años","Comida","30-40 €","Positivo","","Servicio perfecto, cantidades equilibradas y precios razonables","","No","Servicio perfecto. Cantidad perfecta por un precio razonable. Todo muy bueno"
644,"Rodrigo Chausa Ramirez","3 reseñas","Hace 1 año","Cena","20-30 €","Positivo","","Todo perfecto en comida y servicio","Sensación de calor en la sala","No","Está todo perfecto pero hace un poco de calor"
645,"Alberto Castellano Duel","Local Guide · 58 reseñas","Hace 1 año","Comida","","Positivo","Chuletón de vaca vieja, Mejillones a la brasa, Mollejas","Chuletón de vaca vieja y mejillones a la brasa espectaculares","","Sí","Chuletón de vaca vieja muy rico y unos mejillones abiertos a la brasa espectaculares..."
646,"CHARO Charota","6 reseñas","Hace 3 años","","","Positivo","","Comida muy buena y atención esmerada de camareros","","No","Muy buena atención por parte de los camareros y comida muy buena"
647,"nuria g","Local Guide · 29 reseñas","Hace 4 años","","","Positivo","","Comida y servicio excelentes en cenas repetidas","","No","Es la segunda vez que ceno en la roca y la comida y el servicio son excelentes! Muy recomendado"
648,"Juan","6 reseñas","Hace 3 años","","","Positivo","","Cena de 10 y servicio muy por encima de la media habitual","","No","Una cena de 10 con una atención por parte del servicio muy por encima de lo habitual. Volveré seguro"
649,"Rosa Rodriguez","Local Guide · 22 reseñas · 5 fotos","Hace 3 años","Cena","30-40 €","Positivo","","Comida impresionante y trato inmejorable","","No","Impresionante lo bueno que esta! No nos cansamos de repetir! Y el trato inmejorable"
650,"Matias Fevre","Local Guide · 55 reseñas · 25 fotos","Hace 3 años","Cena","30-40 €","Positivo","","Comida buenísima y camareros súper atentos","","Sí","Buenísimo todo y el servicio muy atento. Directo a mi lista de favoritos"
651,"Marta Aguado Idiarte","2 reseñas","Hace 4 años","","","Positivo","Hamburguesa","Hamburguesa de diez y servicio impecable","","No","Comida riquísima, hamburguesa de 10 y servicio impecable!!!! Recomendable al 100%"
652,"Ana Garcia de Diego","8 reseñas","Hace 4 años","","","Positivo","","Comida súper rica y atención impecable","","No","La comida súper rica!!! La atención muy buena y la compañía rubia la mejor!!!"
653,"Felipe Lozano Carbonell","Local Guide · 237 reseñas · 769 fotos","Hace 2 años","","","Positivo","","Sitio genial","","No","Sitio genial 👌"
654,"Pablo Domínguez","Local Guide · 26 reseñas · 1 foto","Hace 3 años","","","Positivo","Tapas de autor, Raviolis","Tapas muy ricas y raviolis espectaculares","Precios algo elevados","No","Caro pero muy bueno. Las tapas están muy buenas y los raviolis son espectaculares."
655,"Andrés Zancada","Local Guide · 46 reseñas · 291 fotos","Hace 5 años","","","Positivo","Hamburguesa","Hamburguesa calificada entre las mejores de Madrid","","Sí","De las mejores hamburguesas que he comido en Madrid. Todo muy bueno!"
656,"Ramón Caballero Soto","Local Guide · 100 reseñas · 126 fotos","Hace 6 años","","","Positivo","","Comida muy sabrosa y personal muy atento","Local no muy grande que exige reserva","Sí","Muy bueno pero hay que reservar no es muy grande. Personal muy atento"
657,"neria salcedo","12 reseñas · 2 fotos","Hace 4 años","","","Positivo","Tacos de pulpo","Comida deliciosa, servicio excelente y tacos de pulpo 10/10","","No","Comida deliciosa! Y excelente atención! Los tacos de pulpo 10/10"
658,"Paola Ln","1 reseña","Hace 3 años","","","Positivo","","Muy buena comida y trato estupendo","","No","Muy buena comida y un trato estupendo."
659,"Araceli Senís","Local Guide · 27 reseñas · 6 fotos","Hace 6 años","","","Positivo","Tartar de atún","Comida exquisita, trato inmejorable y tartar de atún sobresaliente","","No","La comida exquisita y el trato inmejorable. El tartar de atún es lo más bueno del mundo."
660,"Portalita Loeda","7 reseñas · 3 fotos","Hace 5 años","","","Positivo","","Comida innovadora y terraza cubierta muy agradable","","No","La comida muy buena e innovadora, y la terraza cubierta es ideal."
661,"Antonio Saenz-Lopez Buñuel","Local Guide · 45 reseñas · 2 fotos","Hace 2 años","","20-30 €","Negativo","Tortilla de Betanzos con patatas chip, Alcachofas, Pluma ibérica","","Tortilla de Betanzos hecha con patatas chip industriales, alcachofas flojas y pluma seca sin grasa","No","Tortilla de Betanzos hecha con patatas chip, alcachofas mejorables y pluma con falta de grasa."
662,"Javier Román Rovira","2 reseñas","Hace 3 años","Cena","40-50 €","Positivo","","Gran producto y excelente trato en sala","","No","Grandísimo descubrimiento al que volveremos muchas veces. Muy buen trato y producto."
663,"Sofia Ruiz","Local Guide · 11 reseñas · 1 foto","Hace 4 años","","","Positivo","","Comida fantástica y servicio excelente","","No","Comida fantástica y un servicio excelente. Repetiremos sin duda!!"
664,"esther fernandez","1 reseña","Hace 6 años","","","Positivo","Carne, Entrantes de autor","Carne espectacular, entrantes extraordinarios y trato muy cordial","","Sí","Carne espectacular y entrantes extraordinarios, trato muy cordial"
665,"Carmen San Julian Salas","Local Guide · 37 reseñas · 4 fotos","Hace 6 años","","","Positivo","","Comida excelente y platos con mucho gusto","","No","Es la primera vez que iba, me han invitado mis hijos y me ha encantado. Mucho gusto!!😉"
666,"Andrea Pinto","Local Guide · 24 reseñas · 1 foto","Hace 6 años","","","Positivo","","Comida riquísima, buen trato y diseño cuidado de los baños","","No","Buen trato y comida riquisima! El diseño del baño precioso"
667,"Lydia Arahana Ramos García","Local Guide · 115 reseñas · 150 fotos","Hace 8 años","","","Positivo","Tapas de alta cocina","Tapas muy finas y buena relación calidad-precio","Precio algo elevado","No","Muy finas las tapas, un poco caro pero la relación calidad precio es buena. Repetiría."
668,"Enriquesalgadocorrea Salgado","Local Guide · 184 reseñas · 862 fotos","Hace 5 años","","","Positivo","","Comida de gran calidad y muy buen servicio","Local de dimensiones reducidas","No","Pequeño local pero la calidad se la comida y el servicio muy bueno."
669,"Duque MD","1 reseña · 1 foto","Hace 2 años","","","Positivo","","Atención y comida estupendas","","No","Atención y comida estupenda ! Sin duda repetiremos"
670,"Carlos Caballero","Local Guide · 8 reseñas · 3 fotos","Hace 4 años","","","Positivo","","Calidad 100% y servicio insuperable","","Sí","Trato y servicio insuperable. Calidad 100%. Volveremos sin duda!"
671,"Carlota Lopez","7 reseñas · 6 fotos","Hace 3 años","Cena","50-60 €","Positivo","","Comida, servicio y decoración del local espectaculares","","No","Espectacular! La comida, el servicio y el local! Repetimos seguro !!"
672,"Amelia PR","Local Guide · 67 reseñas · 54 fotos","Hace 3 años","Comida","60-70 €","Positivo","","Comida súper sabrosa y trato de sala excelente","","No","Comida súper rica y el trato muy muy bueno."
673,"Susana PEÑA LÓPEZ-TERRADAS","2 reseñas","Hace 1 año","","","Positivo","","Servicio y comida excelentes","","No","Servicio y comida excelente. Recomendado 100%."
674,"Sonia DEL OLMO","Local Guide · 40 reseñas · 1 foto","Hace 4 años","Cena","30-40 €","Negativo","Cerveza","","Raciones muy escasas y precios caros (cerveza a 4.20€)","Sí","Muy caro para raciones escasas. 1 cerveza 4.20 €"
675,"Sara C","9 reseñas","Hace 1 año","Comida","20-30 €","Positivo","","Calidad indiscutible y acierto seguro en Pozuelo","","No","Siempre es un acierto total venir a La Roca. De mis sitios favoritos de Pozuelo."
676,"Jose Luis Moreno","Local Guide · 65 reseñas · 12 fotos","Hace 2 años","Comida","30-40 €","Positivo","","Propuesta culinaria acertada y servicio impecable","","No","Muy buena apuesta culinaria. Servicio impecable"
677,"Ana Gutierrez","5 reseñas","Hace 4 años","","","Positivo","","Comida increíble y camareros encantadores","","No","Muy buen restaurante, los camareros encantadores y la comida increíble."
678,"Celia Gonzalez Moreno","Local Guide · 91 reseñas","Hace 5 años","","","Positivo","","Comida deliciosa y excelente trato en comidas de grupo de trabajo","","No","Fui a comer con los compañeros y comida deliciosa y muy buen trato con los clientes."
679,"Ines Rosado","Local Guide · 28 reseñas · 3 fotos","Hace 6 años","","","Positivo","","Comida y trato excelentes","","No","Excelente comida y trato. Totalmente recomendable."
680,"Angel Uceda","Local Guide · 178 reseñas · 671 fotos","Hace 1 año","","","Positivo","","Buen servicio y buena comida","","No","Buen servicio y buena comida. Recomendable"
681,"Javier Perez Trigo","Local Guide · 137 reseñas · 654 fotos","Hace 5 años","","","Positivo","Croquetas, Tapas y raciones","Croquetas espectaculares y gran formato de tapas y raciones","","Sí","Gran sitio de tapas y raciones. Croquetas espectaculares"
682,"Raúl Alvear","Local Guide · 148 reseñas · 34 fotos","Hace 8 años","","","Positivo","Platos innovadores","Cocina deliciosa, diferente y a buen precio","Local pequeño","No","Riquísimo, diferente y a buen precio. Local pequeño."
683,"Santiago Cadahía","3 reseñas","Hace 4 años","Comida","30-40 €","Positivo","","Comida riquísima y trato amable y agradable","","No","Comida riquísima. El servicio muy amable y agradable."
684,"Nicolas NN","Local Guide · 19 reseñas · 13 fotos","Hace 4 años","","","Positivo","","Comida y atención excelentes con ganas de probar toda la carta","","No","Que buena la comida, la atención y todo. Con ganas de volver a probar mas cosas"
685,"Inmaculada Lopez Candela","Local Guide · 29 reseñas","Hace 1 año","","","Positivo","","Comida buenísima de calidad inmejorable","","No","Todo buenísimo y de calidad inmejorable"
686,"Mª Luisa Carranza","Local Guide · 36 reseñas · 1 foto","Hace 8 años","","","Positivo","Croquetas, Chopitos","Croquetas y chopitos fantásticos","","No","Se come fenomenal. Croquetas, chopitos... Todo fantástico"
687,"Elena Yepes","6 reseñas","Hace 4 años","Cena","40-50 €","Positivo","","Comida increíble y servicio genial constante","","No","Siempre se come increíble!! Y el servicio genial :)"
688,"Laurelia","Local Guide · 106 reseñas · 107 fotos","Hace 4 años","","","Positivo","","Cocina de gran nivel y atención excelente","","Sí","Gran descubrimiento. !! Atención excelente!! Cocina muy buena!!"
689,"Maria A secas","Local Guide · 61 reseñas · 45 fotos","Hace 9 años","","","Mixto","Platos de carta","Carta apetecible y con buen sabor","Raciones minúsculas para precios muy caros","No","Carta aceptada con platos con buen sabor... pero raciones minusculas para el precio tan caro."
690,"Oscar Llorca","12 reseñas","Hace 4 años","","","Positivo","","Personal maravilloso y ambiente exclusivo","","Sí","Sitio para repetir. El personal maravilloso. Segunda casa de Carmen Borrego."
691,"Julian Barcelo","Local Guide · 49 reseñas · 51 fotos","Hace 6 años","","","Positivo","Tapas gourmet","Buenas tapas, excelente atención y local agradable","","No","Muy buena atención, buenas tapas y un lugar muy agradable"
692,"Joseph Mier Y Teran","Local Guide · 18 reseñas · 2 fotos","Hace 4 años","","","Positivo","Raciones","Calidad, porciones equilibradas y atención increíble","","No","Excelente opción gastronómica, porciones, calidad y atención increíble...."
693,"Nuria Acero","8 reseñas","Hace 3 años","","","Positivo","","Comida muy rica y camareros muy atentos","","No","Muy bien atendidos y todo muy rico!!,"
694,"EAG EAG","Local Guide · 325 reseñas · 769 fotos","Hace 8 años","","","Positivo","","Comida muy buena","Mesas altas incómodas y escaso espacio en sala","No","La comida, muy bien. El inconveniente, es que, las pocas mesas que tiene, son altas, lo que lo hace algo incòmodo."
695,"German","2 reseñas","Hace 8 años","","","Positivo","","Servicio excelente y producto sublime en la zona de Aravaca","","No","Excelente servicio y un producto sublime. Lo mejor de Aravaca. Enhorabuena !!"
696,"Alvaro De Andres","Local Guide · 198 reseñas · 9 fotos","Hace 4 años","","","Neutral","","Reseña errónea orientada a los accesos y fuentes de la Casa de Campo","Reseña no relacionada con el restaurante","Sí","Una de las puertas de La Casa de Campo más bonitas. Zona de descanso y mapa para situarse y seguir disfrutando. Sólo le falta una fuentecita"
697,"Carlos Vega de Seoane Abarca (cvsa)","Local Guide · 12 reseñas · 4 fotos","Hace 4 años","","","Positivo","Platos de mercado","Comida de mercado deliciosa que siempre sorprende","","Sí","Deliciosa comida de mercado! Venimos mucho y siempre nos sorprendemos!"
698,"Evelyn Andres","7 reseñas","Hace 7 años","","","Positivo","","Excelente trato y cocina exquisita, el mejor de la zona","","No","Excelente trato y comida exquisita, el mejor de la zona"
699,"Cristina Ubierna","4 reseñas","Hace 4 años","","","Positivo","","Lugar tranquilo y acogedor, comida exquisita y trato atento","","Sí","Un lugar tranquilo y acogedor. Comida exquisita y trato atento."
700,"Alberto Segovia","Local Guide · 64 reseñas · 21 fotos","Hace 3 años","Cena","40-50 €","Positivo","","Buena calidad de materia prima y buen servicio","Precios algo elevados","No","Buena calidad de producto y buen servicio. Algo caro de precio"
701,"Arancha Pardo","Local Guide · 17 reseñas","Hace 7 años","","","Positivo","","Comida de diez y camareros de diez","","Sí","Me ha encantado...comida 10. Camareros 10. Volveré sin duda"
702,"claudio tacoronte","1 reseña","Hace 3 años","","","Positivo","Kimuchi de marisco","Servicio excelente y kimuchi de marisco espectacular","","No","Excelente servicio, el kimichi de marisco recomendable al 100% espectáculo"
703,"Mónica Loriente","7 reseñas","Hace 5 años","","","Positivo","","Comida muy sabrosa y música de fondo en ambiente tranquilo","","Sí","Comida muy rica y ambiente tranquilo con música de fondo agradable"
704,"alfonso albert","Local Guide · 263 reseñas · 30 fotos","Hace 4 años","","","Positivo","Platos de alta cocina","Alta cocina de nivel a precio razonable con personal inigualable","","Sí","Viva Medina! Alta cocina. Un precio razonable y un personal inigualable"
705,"Miguel Rodriguez Bueno","Local Guide · 72 reseñas · 33 fotos","Hace 2 años","Cena","40-50 €","Positivo","","Cena agradable y servicio increíble","","No","Disfrutamos de una cena muy agradable con un servicio increíble"
706,"Alvaro Giquel","Local Guide · 61 reseñas · 119 fotos","Hace 4 años","","","Positivo","Tapas en taco de madera","Atención cercana y excelente presentación de las tapas sobre taco de madera","","No","Lo que más me gusta de La Roca es la atención del personal y las tapas del taco de madera."
707,"Alberto Rodriguez","14 reseñas","Hace 3 meses","","","Positivo","Cocina de mercado","Buena cocina de mercado","","No","Buenas cocina de mercado"
